id;título;materia;periodicidad;modified;geo;territorial;por qué;temporal;por qué;vivo;api;tag swagger;formatos;palabras inversión;abierto;explorable;candidato
1820;Catálogo de Transparencia;Sector Público;P0DT1S;2017-05-30;N;no;;sí;tiempo real;no evaluable (tiempo real);sí;Gobierno abierto: Catalogo de transparencia;api;;sí;no;no
1520;Registro de Solares;Urbanismo e Infraestructuras;-;2016-03-15;S;sí;geo=S;no;;no (3826 d, sin periodicidad);sí;Equipamientos y movilidad: Solares de la ciudad;api;;no;no;no
1782;Vehículos municipales;Sector Público;P1Y;2017-05-29;N;no;;sí;periodicidad P1Y;no (ratio 9,3);sí;Ayuntamiento: Vehiculos municipales;api;;sí;no;no
1840;Entornos BIC;Urbanismo e Infraestructuras;-;2017-06-05;N;no;;no;;no (3379 d, sin periodicidad);sí;Equipamientos y movilidad: Entornos BIC;api;patrimonio;no;no;no
1500;Accidentes de Tráfico;Transporte;NEVER;2018-11-23;S;sí;geo=S;no;;no (2843 d, sin periodicidad);sí;Equipamientos y movilidad: Accidentes de trafico;api sparql-query;;sí;no;no
1800;Datos de entrada de agua a la Planta potabilizadora;Medio Ambiente;P1W;2017-05-29;N;no;;sí;periodicidad P1W;no (ratio 483,7);sí;Medio Ambiente: Datos Planta Potabilizadora;api;;sí;no;no
4940;Control Ambiental de Vertidos;Medio Ambiente;P1Y;2026-01-01;N;no;;sí;periodicidad P1Y;sí (ratio 0,7);no;;;;no;no;no
2021;Indicadores Demográficos: Migraciones;Demografía;P1Y;2020-04-21;S;sí;geo=S;sí;periodicidad P1Y;no (ratio 6,4);no;;json ms-excel oasis.opendocument.spreadsheet text/csv zip;;sí;no;no
2180;Evolución de la facturación por tramos de valor catastral IBI;Hacienda;-;2019-01-24;N;no;;sí;palabra:evolución;no (2781 d, sin periodicidad);no;;ms-excel;factura;sí;no;no
1640;Estudio sobre la organización social de los cuidados en el municipio de Zaragoza;Sociedad y Bienestar;-;2017-10-25;S;sí;geo=S;no;;no (3237 d, sin periodicidad);no;;json;;sí;no;no
2020;Indicadores Demográficos: Hogares;Demografía;P1Y;2020-04-20;S;sí;geo=S;sí;periodicidad P1Y;no (ratio 6,4);no;;json ms-excel oasis.opendocument.spreadsheet text/csv;;sí;no;no
2240;Coste Efectivo de los servicios prestados por el Ayuntamiento y sus entidades dependientes;Economía;P1Y;2019-06-07;N;no;;sí;periodicidad P1Y, palabra:2075;no (ratio 7,3);no;;ms-excel oasis.opendocument.spreadsheet;;sí;no;no
1742;Organización Municipal;Sociedad y Bienestar;P0DT1S;2017-05-26;N;no;;sí;tiempo real;no evaluable (tiempo real);sí;Ayuntamiento: Organizacion municipal;api sparql-query;;sí;no;no
1780;Tablón de Edictos;Sector Público;P0DT1S;2017-05-29;N;no;;sí;tiempo real;no evaluable (tiempo real);sí;Ayuntamiento: Tablón de edictos;api;;sí;no;no
1900;Censo de locales Vacíos;Comercio;P0DT1S;2017-07-27;S;sí;geo=S;sí;tiempo real;no evaluable (tiempo real);sí;Urbanismo: Locales vacios;api;;sí;no;no
1920;Artistas y Creadores;Cultura y Ocio;P1Y;2017-08-01;N;no;;sí;periodicidad P1Y;no (ratio 9,1);sí;Cultura: Artistas y Creadores;api;;sí;no;no
2400;Encuesta Condiciones de vida, percepcion y valoracion emocional de la ciudadania durante el confinamiento;Sociedad y Bienestar;-;2020-08-11;N;no;;no;;no (2216 d, sin periodicidad);no;;ms-excel oasis.opendocument.spreadsheet zip;;sí;no;no
1560;Licencias urbanisticas Obras de nueva construcción, Rehabilitación integral, Demolición y Ocupación;Urbanismo e Infraestructuras;P0DT1S;2026-06-30;S;sí;geo=S;sí;tiempo real, palabra:2015;no evaluable (tiempo real);sí;Urbanismo: Obras de nueva construccion, Rehabilitacion integral, Demolicion y Ocupacion;api;licencia obra;sí;no;no
2100;Deuda financiera y préstamos municipales;Hacienda;P1Y;2021-11-26;N;no;;sí;periodicidad P1Y, palabra:evolución;no (ratio 4,8);no;;ms-excel text/csv;deuda;sí;no;no
2420;Mapas de Zaragoza Histórica;Sociedad y Bienestar;-;2020-10-07;S;sí;geo=S, palabra:mapa, formato geo, spatialRepresentationTypeCode;sí;palabra:históric;no (2159 d, sin periodicidad);no;;ogc.wms_xml;;sí;no;no
1420;Licencias urbanísticas de locales;Urbanismo e Infraestructuras;P0DT1S;2019-03-01;N;no;;sí;tiempo real, palabra:2003;no evaluable (tiempo real);sí;Urbanismo: Licencias de Locales de la ciudad;api;licencia;sí;no;no
